District,Hotels,Restaurants,Shopping_Places,Religious_Attractions,Cultural_Attractions,Educational_Places,Fun_And_Family,Hotel_Budget_Range,Restaurant_Budget_Range,Hotel_Budget,Restaurant_Budget
Anuradhapura,Prashadi Guest House,The Trawler Restaurant,Sampath Stores,Ranmasu Uyana (Goldfish Park),Ratnaprasada Museum,Anuradhapura District Chamber of Inter-Governmental Organizations,Ruwanwelisaya,,,,
Anuradhapura,Ranuka Rest,The Sloop Restaurant,Sanka Stores,Queen's Pavilion,Thuparama Museum,Anuradhapura District Chamber of Political Parties,Sri Maha Bodhi Temple,,,,
Anuradhapura,Mihindu Rest,The Dhow Restaurant,Sanjeewa Stores,Ruwanwelisaya Dagoba,Rathna Prasadaya Museum,Anuradhapura District Chamber of Civil Society,Abhayagiri Museum,,,,
Anuradhapura,Sriya Rest,The Junk Restaurant,Senaka Stores,Abhayagiri Dagoba,Dakkhina Stupa Museum,Anuradhapura District Chamber of Charitable Organizations,Isurumuniya Temple,,,,
Anuradhapura,Sakara Hotel,The Galley Restaurant,Senevirathna Stores,Isurumuniya Rock Temple,Sandahiru Seya Museum,Anuradhapura District Chamber of Voluntary Organizations,Thuparamaya,,,,
Anuradhapura,Sanghamitta Rest,The Brigantine Restaurant,Shanaka Stores,Sri Maha Bodhiya,Loha Prasada Museum,Anuradhapura District Chamber of Community-Based Organizations,Samadhi Buddha Statue,,,,
Anuradhapura,Samagi Rest,The Clipper Restaurant,Shantha Stores,Lovamahapaya,Royal Pleasure Garden Museum,Anuradhapura District Chamber of Religious Organizations,Kuttam Pokuna,,,,
Anuradhapura,Samadhi Rest,The Barquentine Restaurant,Shashika Stores,Rathna Prasadaya,Vessagiri Museum,Anuradhapura District Chamber of Educational Organizations,Jethawanaramaya Stupa,,,,
Anuradhapura,Ruwanmalee Rest,The Schooner Restaurant,Shehan Stores,The Ruins of Anuradhapura,Dakkinagiri Viharaya Museum,Anuradhapura District Chamber of Cultural Organizations,Lankarama Stupa,,,,
Anuradhapura,Ruhunu Rest,The Brig Restaurant,Sirisena Stores,Jaya Sri Maha Bodhi,Hatadage Museum,Anuradhapura District Chamber of Environmental Organizations,Moonstone at the entrance of Abhayagiriya,,,,
Anuradhapura,Ruhal Rest,The Frigate Restaurant,Sisira Stores,Mahamevnawa Buddhist Monastery,Jetavanarama Museum,Anuradhapura District Chamber of Health Organizations,Kuttam Pokuna,,,,
Anuradhapura,Rajah Rest,The Corvette Restaurant,Sujatha Stores,The Jetavanarama Stupa,Isurumuniya Museum,Anuradhapura District Chamber of Youth Organizations,Rathna Prasadaya,,,,
Anuradhapura,Hotel Shalini,The Man-o-War Restaurant,Sumeda Stores,Kuttam Pokuna (Twin Ponds),Lankarama Museum,Anuradhapura District Chamber of Women's Organizations,Lovamahapaya,,,,
Anuradhapura,Rajarata Hotel,The Corsair Restaurant,Sunil Stores,The Abhayagiri Monastery Complex,Abhayagiri Museum,Anuradhapura District Chamber of Trade Unions,Sandahiru Seya,,,,
Anuradhapura,Rajarata Rest,The Privateer Restaurant,Suranga Stores,The Samadhi Statue,"Archaeological Museum, Anuradhapura",Anuradhapura District Chamber of Professional Associations,Abhayagiri Stupa,,,,
Anuradhapura,Hotel Winara,The Buccaneer Restaurant,Susantha Stores,The Twin Ponds,Magul Uyana Museum,Anuradhapura Archaeological Museum,Ratna Prasadaya,,,,
Anuradhapura,Walisinghe Tourist Rest,The Mariner Restaurant,Suvini Stores,Ruwanwelisaya Stupa,Ratnaprasada Museum,Anuradhapura Art Gallery,Isurumuniya Temple,,,,
Anuradhapura,Wijerathne Hotel,The Merchantman Restaurant,Tharanga Stores,The Mirisavatiya Dagoba,Thuparama Museum,Anuradhapura Cultural Center,Lovamahapaya,,,,
Anuradhapura,Samanthi Guest House,The Fisherman Restaurant,Thilak Stores,The Ratnaprasada,Rathna Prasadaya Museum,Anuradhapura Heritage Site,Elephant Pond,,,,
Anuradhapura,Siriwardena Tourist Rest,The Marlin Restaurant,Udaya Stores,The Thuparama Dagoba,Dakkhina Stupa Museum,Anuradhapura Historic Landmark,Samadhi Buddha Statue,,,,
Anuradhapura,Sisira Tourist Rest,The Tuna Restaurant,Upali Stores,The Anuradhapura Folk Museum,Sandahiru Seya Museum,Anuradhapura Nature Reserve,King Tissa's Palace,,,,
Anuradhapura,Samanthi Rest,The Mackerel Restaurant,Vajira Stores,The Vessagiriya Monastery,Loha Prasada Museum,Anuradhapura Botanical Garden,Magul Uyana,,,,
Anuradhapura,Samadhi Rest,The Trout Restaurant,Waruna Stores,The Mihintale,Royal Pleasure Garden Museum,Anuradhapura Archaeological Site,Thuparamaya,,,,
Anuradhapura,Samadhi Rest,The Salmon Restaurant,Yasas Stores,The Abhayagiri Museum,Vessagiri Museum,Anuradhapura Royal Palace Complex,Thuparama Dagaba,,,,
Polonnaruwa,Hotel Sudu Araliya,Royal Lotus Restaurant,Srilanka Handicrafts Emporium,Gal Vihara,Polonnaruwa Vatadage,"Archaeological Museum, Polonnaruwa",Polonnaruwa Archaeological Park,,,,
Polonnaruwa,Jetwing Lake,Moonlight Restaurant,City Plaza Shopping Complex,Lankatilaka Temple,Gal Vihara,Parakramabahu Statue,Parakrama Samudra,,,,
Polonnaruwa,Aliya Resort & Spa,Heritage Restaurant,Mihintale Shopping Centre,Rankot Vihara,Rankoth Vehera,Polonnaruwa Vatadage,Polonnaruwa Ancient City Walls,,,,
Polonnaruwa,Hotel Ancient Village,Sunflower Restaurant,Jayamali Shopping Centre,Vatadage,Thuparama Gedige,Polonnaruwa Rankoth Vehera,Polonnaruwa Museum,,,,
Polonnaruwa,Hotel Sunrich,Riverside Restaurant,Heritage Plaza,Kiri Vihara,Lankathilaka Temple,Nissanka Latha Mandapaya,Polonnaruwa Royal Palace,,,,
Polonnaruwa,Hotel Giritale,Green Leaf Restaurant,Lucky Plaza,Thuparamaya,Nelum Pokuna,Gal Vihara,Polonnaruwa Market Square,,,,
Polonnaruwa,The Deer Park Hotel,Lake View Restaurant,Lanka Shopping Arcade,Hatadage,Pabalu Vehera,Thuparama Gedige,Thivanka Image House,,,,
Polonnaruwa,Hotel Elephant Park,Serenity Restaurant,Dilshan Shopping Mall,Siva Devalaya,Shiva Devalaya,Lankatilaka Temple,Gal Vihara,,,,
Polonnaruwa,Hotel Sadewi,Golden Spoon Restaurant,Raja Shopping Centre,Bodhi Tree Shrine,Kiri Vehera,Potgul Vehera,Potgul Vehera,,,,
Polonnaruwa,Hotel Sudu Mihira,Oasis Restaurant,Ranjith Shopping Complex,Tivanka Image House,Hatadage,Sathmahal Prasada,Rankot Vihara,,,,
Polonnaruwa,Thidas Arana Hotel,Spice Garden Restaurant,Sanjeevani Shopping Mall,Demala Maha Seya,Satmahal Prasada,Polonnaruwa Siva Devalaya,Polonnaruwa Vatadage,,,,
Polonnaruwa,The Lakeside at Nuwaragam Palatha,Bamboo Grove Restaurant,Suraj Shopping Complex,Sathmahal Prasada,Sathmahal Prasada,Alahana Pirivena,Nelum Pokuna,,,,
Polonnaruwa,Mahanuwara Rest,Lotus Leaf Restaurant,Shanthi Shopping Complex,Pabalu Vehera,Kiri Vihara,Kiri Vehera,Lotus Pond,,,,
Polonnaruwa,The Lake House Hotel,Sunbird Restaurant,Mahinda Shopping Mall,Alahana Pirivena,Siva Devalaya No. 2,Lotus Pond,Shiva Kovil No. 2,,,,
Polonnaruwa,Hotel Royal Castle,Sunset Restaurant,Senevirathne Shopping Centre,Lotus Pond,Nissanka Latha Mandapaya,Satmahal Prasada,Lankatilaka Temple,,,,
Polonnaruwa,Hotel Sigiriya Village,Coconut Grove Restaurant,Prasanna Shopping Arcade,Shiva Kovil No. 2,Lotus Pond,Bodhi Tree Shrine,Sathmahal Prasada,,,,
Polonnaruwa,Hotel Elephant Bay,Lakeside Restaurant,Senani Shopping Plaza,Somawathiya Chaithya,Siva Devalaya No. 1,Pothgul Vehera,Alahana Pirivena,,,,
Polonnaruwa,The Water Garden Hotel,Palm Tree Restaurant,Nalin Shopping Complex,Thivanka Pilimage,Manik Vihara,Thivanka Pilimage,Nissanka Latha Mandapaya,,,,
Polonnaruwa,The Lake Hotel Polonnaruwa,Spice Route Restaurant,Ranjith Shopping Plaza,Veheragala,Alahana Pirivena,Rankot Vihara,Bodhi Tree Shrine,,,,
Polonnaruwa,Hotel Green Park,Bamboo Hut Restaurant,Ravi Shopping Centre,Ratna Prasada,Buddha Seema Prasada,Hatadage,Pothgul Vehera,,,,
Polonnaruwa,Serene Park Hotel,Riverbank Restaurant,Rajiv Shopping Mall,Siva Devalaya,Pothgul Vehera,Shiva Kovil No. 2,Thuparama Gedige,,,,
Polonnaruwa,Hotel Sunrise,Golden Fork Restaurant,Ashoka Shopping Centre,Pothgul Vehera,Polonnaruwa Museum,Polonnaruwa Quadrangle,Hatadage,,,,
Polonnaruwa,Hotel Sarath,Seafood Delight Restaurant,Chaminda Shopping Plaza,Mahasen Devalaya,Hetadage,King Parakramabahu's Palace,King Parakramabahu's Palace,,,,
Polonnaruwa,Hotel Senora,Blue Wave Restaurant,Janaka Shopping Complex,Sandakada Pahana,Kumara Pokuna,Lankatilaka Image House,Sandakada Pahana,,,,
Polonnaruwa,Hotel Senani,Coral Reef Restaurant,Kavinda Shopping Centre,Pabalu Vehera,Council Chamber (Nissanka Malla's Palace),Buddha Seema Prasada,Ulagalla Raja Maha Viharaya,,,,
Polonnaruwa,Hotel Sudu Mahal,Island Paradise Restaurant,Ruwan Shopping Plaza,Buddha Seema Prasada,Audience Hall,Sun and Moon Pillar,Lotus Park,,,,
Polonnaruwa,Hotel Senora Holiday Resort,Sunset Grill Restaurant,Ranjan Shopping Arcade,Sun and Moon Pillar,Gal-potha (Stone Book),Sandakada Pahana,Nelum Pokuna Park,,,,
Polonnaruwa,Hotel Sudu Ketha,Spice Island Restaurant,Pabasara Shopping Mall,Lankathilaka Image House,Sathmahal Prasada,Royal Palace of King Parakramabahu,Polonnaruwa New Town Park,,,,
Polonnaruwa,Hotel Sudu Kalu,Bamboo Terrace Restaurant,Gamini Shopping Complex,Atadage,Dalada Maluwa,Bodhigara,Samudra Park,,,,
Polonnaruwa,Hotel Serene Park,Paradise Cove Restaurant,Sampath Shopping Centre,Watadage,Northern Palace,Ulagalla Raja Maha Viharaya,Royal Garden,,,,
Polonnaruwa,Hotel Sigiriya,Sea Breeze Restaurant,Priyantha Shopping Plaza,Nissanka Latha Mandapaya,Southern Palace,"Archaeological Reserve, Polonnaruwa",Polonnaruwa Nature Reserve,,,,
Polonnaruwa,Hotel Sudu Samudra,Ocean View Restaurant,Bandara Shopping Mall,Bodhi Tree Temple,Parakramabahu Statue,Council Chamber of King Nissanka Malla,Parakrama Park,,,,
Polonnaruwa,Hotel Suraj,Riverbend Restaurant,Sunil Shopping Complex,Atadageya,Pabalu Vehera,Nissanka Latha Mandapaya,Kaudulla National Park,,,,
Polonnaruwa,Hotel Sandani,Tamarind Tree Restaurant,Chathura Shopping Centre,Satmahal Prasada,Hetadage,Hetadage,Minneriya National Park,,,,
Polonnaruwa,Hotel Sudu Gedara,Spice Garden Restaurant,Madushanka Shopping Plaza,Sathmahal Prasada,Pothgul Vehera,Thivanka Image House,Angammedilla National Park,,,,
Polonnaruwa,Hotel Sandaru,Sunflower Garden Restaurant,Pubudu Shopping Arcade,Manik Vehera,Thivanka Image House,Statue of King Parakramabahu,Giritale Lake,,,,
Polonnaruwa,Hotel Sath Diyawara,Mango Tree Restaurant,Chamara Shopping Mall,Thuparama Gedige,Latha-mandapaya,Parakrama Samudra,Parakrama Samudraya,,,,
Polonnaruwa,Hotel Sath Maha Sewana,Riverside Grill Restaurant,Dinesh Shopping Centre,Pabulu Vehera,Dakkinagiri Vihara,Pothgul Vihara,Manampitiya Bridge,,,,
Polonnaruwa,Hotel Ruhunu,Bamboo Garden Restaurant,Wasantha Shopping Plaza,Hetadage,Rankoth Vehera,Royal Palace of King Parakramabahu,Hingurakgoda Lake,,,,
Polonnaruwa,Hotel Raja,Lotus Pond Restaurant,Heshan Shopping Complex,Vajiragiriya,Rankot Vihara,Rankot Vihara,Diyawadana Nilame's Palace,,,,
Polonnaruwa,Hotel Rukmal,Royal Palace Restaurant,Tharaka Shopping Mall,Pothgul Vehera,Nissanka Latha Mandapaya,Alahana Pirivena,Lankatilaka Pilimage,,,,
Polonnaruwa,Hotel Rajakiya,Silver Sands Restaurant,Nishantha Shopping Centre,Bodhi Tree Shrine,Kuttam Pokuna,Manik Vehera,Buddhist Statue at Gal Vihara,,,,
Polonnaruwa,Hotel Rajanawa,Emerald Isle Restaurant,Nadeera Shopping Plaza,Lankatilake,Nissanka Latha Mandapaya,"Archaeological Museum, Polonnaruwa",Ancient Polonnaruwa Hospital,,,,
Polonnaruwa,Hotel Ruwanmali,Spice Lounge Restaurant,Pradeep Shopping Arcade,Bodhigara,Hatadage,Thivanka Pilimage,Polonnaruwa Ancient City Council Chamber,,,,
Polonnaruwa,Hotel Rangiri,Lotus Blossom Restaurant,Thusitha Shopping Mall,Satmahal Prasada,Hatadage,Gal Vihara,Angammedilla Anicent Forest Reserve,,,,
Polonnaruwa,Hotel Rohan,Sunset Terrace Restaurant,Rasika Shopping Complex,Ulagalla Raja Maha Viharaya,Pabalu Vehera,Lankatilaka Temple,Polonnaruwa Watadage,,,,
Polonnaruwa,Hotel Ranjan,Coconut Grove Restaurant,Roshan Shopping Centre,Alahana Pirivena,Lotus Pond,Potgul Vehera,Hiriwadunna Lake,,,,
Polonnaruwa,Hotel Ranmali,River View Restaurant,Sandaru Shopping Plaza,Siva Devalaya,Lankatilaka,Sathmahal Prasada,Elahera Gem Fields,,,,
Polonnaruwa,Hotel Ranpokuna,Bamboo House Restaurant,Niroshan Shopping Mall,Sathmahal Prasada,Thuparama Gedige,Polonnaruwa Vatadage,Somawathiya Chaithya,,,,
Polonnaruwa,Hotel Ranveer,Golden Sands Restaurant,Kanchana Shopping Complex,Mahasen Devalaya,Gal Vihara,Polonnaruwa Rankoth Vehera,Dimbulagala Raja Maha Viharaya,,,,
Polonnaruwa,Hotel River View,Pearl River Restaurant,Charitha Shopping Centre,Veheragala,Polonnaruwa Archaeological Museum,Thuparama Gedige,Nelum Pokuna Cultural Centre,,,,
Polonnaruwa,Hotel River Side,Spice Trail Restaurant,Udara Shopping Plaza,Ratna Prasada,Satmahal Prasada,Lotus Pond,Polonnaruwa Village Tour,,,,
Polonnaruwa,Hotel Ranwala,Mango Grove Restaurant,Kasun Shopping Arcade,Pothgul Vehera,Gal Viharaya,Satmahal Prasada,Polonnaruwa Old Town Hall,,,,
Polonnaruwa,Hotel Rathna,Lakeside Grill Restaurant,Chathuranga Shopping Mall,Pabalu Vehera,Vatadage,Bodhi Tree Shrine,Shiva Temple at Polonnaruwa,,,,
Polonnaruwa,Hotel Ranjan,Sunbeam Restaurant,Gihan Shopping Complex,Thivanka Pilimage,Parakrama Samudra,Pothgul Vehera,Lankatilaka Raja Maha Viharaya,,,,
Polonnaruwa,Hotel Ranwala,Riverside Café Restaurant,Sandun Shopping Centre,Siva Devalaya,Shiva Devalaya,Nissanka Latha Mandapaya,Pabulu Vehera,,,,
Polonnaruwa,Hotel Ramboda,Bamboo Shack Restaurant,Madhawa Shopping Plaza,Pabalu Vehera,Kiri Vehera,King Parakramabahu's Palace,Monastery of the Royal Garden,,,,
Polonnaruwa,Hotel Ranpokuna,Lotus Garden Restaurant,Nuwan Shopping Mall,Buddha Seema Prasada,Rankoth Vehera,Polonnaruwa Quadrangle,Polonnaruwa Cricket Ground,,,,
Polonnaruwa,Hotel Ranveli,Spice Market Restaurant,Buddhika Shopping Complex,Sun and Moon Pillar,Thuparamaya,Shiva Kovil No. 2,Polonnaruwa Rugby Ground,,,,
Polonnaruwa,Hotel Ramya,Sun Deck Restaurant,Saman Shopping Centre,Lankathilaka Image House,Dalada Maluwa,Lankatilaka Image House,Galpoththawa Ancient Bridge,,,,
Polonnaruwa,Hotel Randiya,Ocean Paradise Restaurant,Thilina Shopping Plaza,Atadage,Satmahal Prasada,Buddha Seema Prasada,Hingurakgoda Botanical Garden,,,,
Polonnaruwa,Hotel Rajasi,Coral Cove Restaurant,Sanjaya Shopping Arcade,Watadage,Gal Potha,Sun and Moon Pillar,Sorabora Wewa,,,,
Polonnaruwa,Hotel Rahal,River Retreat Restaurant,Tharindu Shopping Mall,Nissanka Latha Mandapaya,Velaikkara Inscription,Sandakada Pahana,Angammedilla Reservoir,,,,
Polonnaruwa,Hotel Rainforest,Bamboo Bay Restaurant,Upul Shopping Complex,Bodhi Tree Temple,Mahasena Palace,Bodhigara,Arankele Monastery,,,,
Polonnaruwa,Hotel Ruwi,Spice House Restaurant,Anura Shopping Centre,Atadageya,Hatadage,Ulagalla Raja Maha Viharaya,Aukana Buddha Statue,,,,
Polonnaruwa,Hotel Rukman,Island Oasis Restaurant,Janith Shopping Plaza,Satmahal Prasada,Parakramabahu Palace,Council Chamber of King Nissanka Malla,Girithale Wewa,,,,
Polonnaruwa,Hotel Rockhill,Riverwalk Restaurant,Ashan Shopping Mall,Sathmahal Prasada,Royal Palace of King Parakramabahu,Nissanka Latha Mandapaya,Manampitiya Wewa,,,,
Polonnaruwa,Hotel River Side,Coconut Cove Restaurant,Gayan Shopping Complex,Manik Vehera,Council Chamber (Raja Sabhawa),Hetadage,Parakrama Samudra,,,,
Polonnaruwa,Hotel River View,Sunset Bay Restaurant,Supun Shopping Centre,Thuparama Gedige,Gal Potha,Thivanka Image House,Polonnaruwa Reservoir,,,,
Polonnaruwa,Hotel Rainbow,Seafront Restaurant,Hiran Shopping Plaza,Pabulu Vehera,Satmahal Prasada,Statue of King Parakramabahu,Rankot Vehera,,,,
Polonnaruwa,Hotel Ranpokuna,Riverside Oasis Restaurant,Lasitha Shopping Arcade,Hetadage,Audience Hall,Parakrama Samudra,Sigiriya Rock Fortress,,,,
Polonnaruwa,Hotel Ranjith,Bamboo Pavilion Restaurant,Ishara Shopping Mall,Vajiragiriya,Rankoth Vehera,"Archaeological Reserve, Polonnaruwa",Dambulla Cave Temple,,,,
Polonnaruwa,Hotel Ruhunu,Spice Villa Restaurant,Thushara Shopping Complex,Pothgul Vehera,Gal Vihara,Council Chamber of King Nissanka Malla,Minneriya Tank,,,,
Polonnaruwa,Hotel Ramboda,Lotus Lake Restaurant,Pawan Shopping Centre,Bodhi Tree Shrine,Thuparama Gedige,Nissanka Latha Mandapaya,Elephant Corridor,,,,
Polonnaruwa,Hotel Ruwanmali,Mango Grove Restaurant,Janaka Shopping Plaza,Lankatilake,Pabalu Vehera,Hetadage,Hiriwadunna Lake,,,,
Polonnaruwa,Hotel Ratnayake,Royal Pavilion Restaurant,Tharaka Shopping Mall,Bodhigara,Sathmahal Prasada,Thivanka Image House,Habarana Lake,,,,
Polonnaruwa,Hotel Rathna,Riverine Restaurant,Rajitha Shopping Complex,Satmahal Prasada,Hatadage,Statue of King Parakramabahu,Giritale Wewa,,,,
Polonnaruwa,Hotel Randeniya,Spice Fusion Restaurant,Danushka Shopping Centre,Ulagalla Raja Maha Viharaya,Dalada Maluwa,Parakrama Samudra,Ancient Hospital,,,,
Polonnaruwa,Hotel Ranjan,Coconut Palm Restaurant,Malith Shopping Plaza,Alahana Pirivena,Parakramabahu Palace,"Archaeological Reserve, Polonnaruwa",Polonnaruwa Ancient City Walls,,,,
Polonnaruwa,Hotel Ranmali,Lotus Blossom Restaurant,Sanka Shopping Arcade,Siva Devalaya,Council Chamber,Satmahal Prasada,Dimbulagala Raja Maha Viharaya,,,,
Polonnaruwa,Hotel Ranmini,Spice Garden Restaurant,Nimal Shopping Mall,Sathmahal Prasada,Audience Hall,Bodhi Tree Shrine,Nissanka Latha Mandapaya,,,,
Polonnaruwa,Hotel Ranveer,Sunset Pavilion Restaurant,Kasuni Shopping Complex,Mahasen Devalaya,Gal Potha,Polonnaruwa Vatadage,Bodhi Tree Shrine,,,,
Polonnaruwa,Hotel Ranpokuna,River View Restaurant,Shehan Shopping Centre,Veheragala,Thivanka Image House,Polonnaruwa Rankoth Vehera,Pothgul Vehera,,,,
Polonnaruwa,Hotel Ranmal,Bamboo Garden Restaurant,Chamara Shopping Plaza,Ratna Prasada,Lankatilaka Temple,Nissanka Latha Mandapaya,Thuparama Gedige,,,,
Polonnaruwa,Hotel Ranrani,Spice Terrace Restaurant,Dushan Shopping Mall,Pothgul Vehera,Kiri Vehera,Gal Vihara,Hatadage,,,,
Polonnaruwa,Hotel Rana,Lotus Court Restaurant,Sumith Shopping Complex,Pabalu Vehera,Nissanka Latha Mandapaya,Thuparama Gedige,King Parakramabahu's Palace,,,,
Polonnaruwa,Hotel Ranwan,Sun Terrace Restaurant,Thilan Shopping Centre,Thivanka Pilimage,Lotus Pond,Lankatilaka Temple,Sandakada Pahana,,,,
Polonnaruwa,Hotel Rockhill,Riverside Terrace Restaurant,Tharindu Shopping Plaza,Siva Devalaya,Pothgul Vehera,Potgul Vehera,Ulagalla Raja Maha Viharaya,,,,
Polonnaruwa,Hotel Rangiri,Coconut Terrace Restaurant,Niroshan Shopping Arcade,Pabalu Vehera,Satmahal Prasada,Sathmahal Prasada,Lotus Park,,,,
Polonnaruwa,Hotel Ramboda,Mango Terrace Restaurant,Buddhika Shopping Mall,Buddha Seema Prasada,Shiva Devalaya,Polonnaruwa Siva Devalaya,Nelum Pokuna Park,,,,
Polonnaruwa,Hotel Rainforest,Spice Lounge Restaurant,Saman Shopping Complex,Sun and Moon Pillar,Pabalu Vehera,Alahana Pirivena,Polonnaruwa New Town Park,,,,
Polonnaruwa,Hotel Rangana,Lotus Pavilion Restaurant,Thilina Shopping Centre,Lankathilaka Image House,Sathmahal Prasada,Kiri Vehera,Samudra Park,,,,
Polonnaruwa,Hotel Ruwi,Bamboo Veranda Restaurant,Sanjaya Shopping Plaza,Atadage,Hatadage,Lotus Pond,Royal Garden,,,,
Polonnaruwa,Hotel Rupavahini,Riverbank Terrace Restaurant,Ashan Shopping Arcade,Watadage,Kiri Vehera,Bodhigara,Polonnaruwa Nature Reserve,,,,
Polonnaruwa,Hotel Ruwanmali,Coconut Veranda Restaurant,Gayan Shopping Mall,Nissanka Latha Mandapaya,Satmahal Prasada,Ulagalla Raja Maha Viharaya,Parakrama Park,,,,
Polonnaruwa,Hotel Rathna,Spice Veranda Restaurant,Hiran Shopping Complex,Bodhi Tree Temple,Pothgul Vehera,Thivanka Pilimage,Kaudulla National Park,,,,
Polonnaruwa,Hotel Ranjan,Lotus Veranda Restaurant,Lasitha Shopping Centre,Atadageya,Gal Vihara,King Parakramabahu's Palace,Minneriya National Park,,,,
Polonnaruwa,Hotel Rana,Riverside Veranda Restaurant,Ishara Shopping Plaza,Satmahal Prasada,Nissanka Latha Mandapaya,Polonnaruwa Quadrangle,Angammedilla National Park,,,,
Polonnaruwa,Hotel Ramboda,Sunset Veranda Restaurant,Pawan Shopping Arcade,Sathmahal Prasada,Parakrama Samudra,Shiva Kovil No. 2,Giritale Lake,,,,
Polonnaruwa,Hotel Rangala,Mango Veranda Restaurant,Thushara Shopping Mall,Manik Vehera,Thuparama Gedige,Buddha Seema Prasada,Parakrama Samudraya,,,,
Matale,Amaya Hills,The Grand Kandyan Hotel - Kandyan Kitchen,Matale Market,"Sri Muthumariamman Kovil, Elkaduwa",Aluvihara Rock Cave Temple,Aluvihara Rock Cave Temple,Sembuwaththa Lake and Falls,,,,
Matale,The Kandyan Manor,Theva Residency - Theva Cuisine,Aramvila Sunday Market,"Sita Kotuwa, Matale",Nalanda Gedige,Nalanda Gedige,Riverstone Gap,,,,
Matale,Camellia Hills,Cinnamon Citadel Kandy - Panorama Restaurant,Matale Vegetable Market,"Naga Pabbata Viharaya, Matale",Dambulla Cave Temple,Dambulla Cave Temple,Knuckles Mountain Range,,,,
Matale,Hunas Falls by Amaya,Kandy City Hotel by Earl's - Earl's Regent Restaurant,Sarvodaya Economic Enterprise Development Services,"Dowa Rajamaha Viharaya, Matale",Sigiriya Rock Fortress,Sigiriya Rock Fortress,Wasgamuwa National Park,,,,
Matale,Ceylon Tea Trails - Castlereagh Bungalow,Amaya Hills - Rasawasala Restaurant,Matale Shopping Complex,"Ibbankatuwa Megalithic Tombs, Dambulla","Sri Muthumariamman Kovil, Matale",Embekka Devalaya,Pitawala Pathana,,,,
Matale,Ceylon Tea Trails - Norwood Bungalow,Senani Hotel - Senani Restaurant,Central Supermarket Matale,"Nalanda Gedige, Matale",Embekka Devalaya,Lankathilaka Viharaya,Riverston Peak,,,,
Matale,Ceylon Tea Trails - Summerville Bungalow,Mahaweli Reach Hotel - Royal Bar & Grill,Kandy Road Market,"Rangiri Dambulla International Cricket Stadium, Dambulla",Lankathilaka Viharaya,Gadaladeniya Viharaya,"Mini World's End, Pitawala Pathana",,,,
Matale,Ceylon Tea Trails - Tientsin Bungalow,Villa Rosa Kandy - Rosa Restaurant,Sathosa Supermarket - Matale,"Dambulla Royal Cave Temple, Dambulla",Gadaladeniya Viharaya,Sembuwaththa Lake and Falls,Bambarakiri Ella,,,,
Matale,Cinnamon Citadel Kandy,Sky Pavilion Hotel - Sky View Restaurant,Ratwatte Sunday Market,"Sita Amman Temple, Dambulla",Sembuwaththa Lake and Falls,Arankele Monastery,Arankele Monastery,,,,
Matale,Madulkelle Tea and Eco Lodge,Clove Villa - Clove Restaurant,Modern Shopping Complex,"Dambulla Golden Temple, Dambulla",Arankele Monastery,Ehelepola Walauwa,Dambulla Cave Temple,,,,
Matale,Misty Hills Kandy,Blinkbonnie Inn - Blinkbonnie Restaurant,The Factory Outlet - Matale,"Sigiriya Rock Fortress, Dambulla",Ehelepola Walauwa,Agra Dhamma Kuta Viharaya,Sigiriya Rock Fortress,,,,
Matale,Mountbatten Bungalow,Nature Walk Resort - Nature Walk Restaurant,Lanka Sathosa - Matale,"Kandalama Temple, Dambulla",Agra Dhamma Kuta Viharaya,Thanthirimale Rajamaha Viharaya,Aluvihara Rock Cave Temple,,,,
Matale,Mount Havana,Kandy Hills Resort - Kandy Hills Restaurant,Sitha's Super Centre - Matale,"Ederagala Wana Senasuna, Matale",Dambulla Royal Cave Temple,Pothgul Rajamaha Viharaya,Nalanda Gedige,,,,
Matale,The Richmond House Kandy,Kandyan Crown Hotel - Crown Restaurant,Family Supermarket - Matale,"Pattini Devalaya, Matale",Naga Pabbata Viharaya,Raththota Raja Maha Viharaya,Sasseruwa Raja Maha Viharaya,,,,
Matale,Theva Residency,Kandy View Hotel - Kandy View Restaurant,Superline Supermarket - Matale,"Gurulupota Raja Maha Viharaya, Matale",Ibbankatuwa Megalithic Tombs,Sasseruwa Raja Maha Viharaya,Thelambugala Rajamaha Viharaya,,,,
Matale,Clove Villa,Secret Kandy - Secret Restaurant,Supermart - Matale,"Aluvihara Rock Temple, Matale",Gammaduwa Raja Maha Viharaya,Polonnaruwa Vatadage,Polonnaruwa Vatadage,,,,
Matale,Clove Garden,OZO Kandy - Eat Restaurant,Aramvila Market,"Sri Muthumariamman Kovil, Matale",Thelambugala Rajamaha Viharaya,Kadadora Rajamaha Viharaya,Kaludiya Pokuna Forest,,,,
Matale,Oak Ray Regency,Devon Hotel Kandy - Devon Restaurant,Arachchi Stores - Matale,"Embekka Devalaya, Laxapana",Gurulupota Raja Maha Viharaya,Mahasen Devalaya,Wasgamuwa National Park,,,,
Matale,Kandy City Hotel by Earl's,Earl's Regency - Far Pavilion,Kandy Market - Matale Branch,"Lankathilaka Viharaya, Kandy",Polonnaruwa Vatadage,Madatugama Raja Maha Viharaya,Knuckles Mountain Range,,,,
